id,question,category,difficulty,type
81,All squares are rectangles.,C,Hard,Fill in the Blanks
82,What is the process of a caterpillar turning into a butterfly called?,B,Easy,Fill in the Blanks
83,What is the currency of the United Kingdom?,A,Easy,True/False
84,"If an item costs $100 and there is a 10% sales tax, what is the total cost?",B,Hard,Question Answer
85,Mars has two moons.,C,Medium,Fill in the Blanks
86,What is the capital of China?,A,Hard,True/False
87,Which gas do humans exhale?,B,Hard,True/False
88,"What is the average of 10, 20, and 30?",A,Medium,Question Answer
89,A decade is 100 years.,B,Easy,Fill in the Blanks
90,What is the main component of stars?,A,Medium,True/False
91,Who invented the telephone?,C,Hard,True/False
92,"What is the perimeter of a triangle with sides 3, 4, and 5?",A,Medium,Question Answer
93,The Great Barrier Reef is off the coast of Brazil.,C,Easy,Fill in the Blanks
94,What is the capital of Russia?,C,Easy,Fill in the Blanks
95,What is the primary color missing from the rainbow?,C,Easy,Question Answer
96,"If a book has 250 pages and you read 50 pages, what percentage have you read?",B,Hard,Question Answer
97,The Earth is flat.,B,Medium,Fill in the Blanks
98,What is the study of weather called?,B,Easy,True/False
99,What is the unit of electric current?,A,Medium,Fill in the Blanks
100,What is the Roman numeral for 50?,A,Easy,Question Answer
101,Water boils at 0 degrees Celsius.,B,Easy,Fill in the Blanks
102,What is the largest country by land area?,C,Easy,True/False
